,age_group,education,gender,nationality,urban_rural,electoral_district,citizen,ukraina,e-valimised,sündimus,kooselu,sisseränne,valitsus,riigikogu,ajakirjandus,party_preference,vote_power,interest
355,35-44,Secondary education,Male,Estonian,Urban,Tartu linn,True,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Rather not trust,Rather not trust,Rather trust,Isamaa,Rather not,A lot
356,45-54,Higher education,Female,Estonian,Rural,"Hiiu-, Lääne- ja Saaremaa",True,Strongly disagree,Strongly disagree,Strongly agree,Don't know,Disagree,Rather trust,Rather not trust,Rather trust,SDE,Rather yes,A lot
357,25-34,Higher education,Male,Estonian,Small town,Harju- ja Raplamaa,True,Don't know,Strongly agree,Disagree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Rather not trust,EKRE,Rather not,Somewhat
358,65-74,Higher education,Female,Estonian,Rural,"Hiiu-, Lääne- ja Saaremaa",True,Disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Rather trust,Rather trust,Rather trust,Reformierakond,Rather yes,Somewhat
359,75+,Higher education,Female,Estonian,Urban,Tartu linn,True,Agree,Disagree,Disagree,Don't know,Agree,Rather trust,Rather not trust,Rather trust,Reformierakond,Rather not,Somewhat
360,75+,Higher education,Male,Estonian,Rural,Pärnumaa,True,Don't know,Don't know,Strongly agree,Strongly disagree,Strongly agree,Rather not trust,Rather trust,Rather not trust,Isamaa,Rather not,Somewhat
361,45-54,Basic education,Female,Estonian,Tallinn,Mustamäe ja Nõmme,True,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Rather not trust,Rather not trust,Rather trust,Reformierakond,Rather yes,Somewhat
362,65-74,Secondary education,Female,Estonian,Small town,Järva- ja Viljandimaa,True,Disagree,Agree,Agree,Disagree,Strongly agree,Don't trust at all,Rather not trust,Don't trust at all,Isamaa,Not at all,Somewhat
363,35-44,Secondary education,Male,Estonian,Small town,Pärnumaa,True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Don't know,Don't trust at all,Don't trust at all,Don't trust at all,No party,Not at all,A lot
364,75+,Secondary education,Male,Estonian,Rural,Ida-Virumaa,True,Strongly agree,Agree,Disagree,Disagree,Disagree,Don't trust at all,Don't trust at all,Rather not trust,Keskerakond,Rather not,Somewhat
365,25-34,Secondary education,Female,Estonian,Urban,"Hiiu-, Lääne- ja Saaremaa",True,Strongly agree,Strongly agree,Agree,Agree,Agree,Don't trust at all,Rather not trust,Don't trust at all,EKRE,Rather not,A little
366,55-64,Higher education,Male,Estonian,Rural,Harju- ja Raplamaa,True,Agree,Disagree,Strongly agree,Agree,Agree,Rather not trust,Rather not trust,Rather not trust,Isamaa,Rather not,Somewhat
367,45-54,Basic education,Male,Estonian,Urban,Järva- ja Viljandimaa,True,Don't know,Disagree,Disagree,Strongly disagree,Disagree,Don't trust at all,Rather not trust,Rather trust,SDE,Rather not,Somewhat
368,75+,Secondary education,Male,Estonian,Urban,Pärnumaa,True,Agree,Agree,Strongly agree,Strongly disagree,Agree,Rather not trust,Rather trust,Trust completely,EKRE,Rather not,Somewhat
369,45-54,Higher education,Female,Estonian,Small town,Harju- ja Raplamaa,True,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Rather not trust,Rather not trust,Rather not trust,Isamaa,Rather not,A lot
370,75+,Higher education,Female,Estonian,Urban,Tartu linn,True,Agree,Strongly disagree,Strongly agree,Disagree,Agree,Rather trust,Rather not trust,Rather not trust,Reformierakond,Rather yes,A little
371,45-54,Basic education,Male,Estonian,Urban,Lääne-Virumaa,True,Disagree,Strongly disagree,Agree,Agree,Disagree,Don't trust at all,Don't trust at all,Rather trust,Isamaa,Rather not,Somewhat
372,45-54,Basic education,Male,Estonian,Rural,"Hiiu-, Lääne- ja Saaremaa",True,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Rather not trust,Rather not trust,Rather not trust,Undecided,Rather not,Somewhat
373,18-24,Basic education,Male,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Rather not trust,Rather not trust,Rather trust,SDE,Rather yes,A lot
374,65-74,Higher education,Male,Estonian,Small town,Harju- ja Raplamaa,True,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Rather trust,Rather trust,Rather trust,Reformierakond,Rather yes,Somewhat
375,45-54,Higher education,Female,Estonian,Small town,Harju- ja Raplamaa,True,Disagree,Strongly disagree,Agree,Strongly agree,Disagree,Rather trust,Rather trust,Rather trust,Eesti 200,Rather yes,A lot
376,35-44,Secondary education,Male,Estonian,Rural,Harju- ja Raplamaa,True,Agree,Strongly agree,Strongly agree,Disagree,Agree,Don't trust at all,Rather not trust,Rather not trust,Parempoolsed,Rather not,A little
377,65-74,Higher education,Male,Estonian,Rural,Ida-Virumaa,True,Disagree,Strongly disagree,Agree,Agree,Agree,Rather trust,Rather trust,Rather trust,Reformierakond,Definitely,A lot
378,25-34,Secondary education,Female,Estonian,Small town,Pärnumaa,True,Agree,Disagree,Agree,Agree,Disagree,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,SDE,Rather yes,A little
379,18-24,Secondary education,Female,Estonian,Rural,Ida-Virumaa,True,Agree,Disagree,Agree,Agree,Agree,Rather not trust,Rather not trust,Rather trust,Rohelised,Rather not,Somewhat
380,75+,Higher education,Male,Estonian,Rural,Järva- ja Viljandimaa,True,Disagree,Agree,Agree,Disagree,Agree,Rather not trust,Rather not trust,Rather trust,Isamaa,Rather yes,A lot
381,65-74,Basic education,Female,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,EKRE,Rather not,A lot
382,35-44,Higher education,Male,Estonian,Small town,Jõgeva- ja Tartumaa,True,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Rather not trust,Rather not trust,Rather trust,Reformierakond,Rather not,A lot
383,75+,Higher education,Female,Estonian,Rural,Järva- ja Viljandimaa,True,Don't know,Strongly disagree,Disagree,Agree,Don't know,Rather not trust,Don't trust at all,Rather trust,SDE,Rather yes,Somewhat
384,75+,Higher education,Female,Estonian,Rural,Jõgeva- ja Tartumaa,True,Disagree,Disagree,Strongly agree,Agree,Agree,Don't trust at all,Rather not trust,Rather trust,Isamaa,Rather yes,Somewhat
385,65-74,Secondary education,Male,Estonian,Urban,Tartu linn,True,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Don't trust at all,Don't trust at all,Rather not trust,Isamaa,Rather not,A little
386,18-24,Secondary education,Male,Estonian,Small town,Harju- ja Raplamaa,True,Strongly disagree,Strongly disagree,Agree,Disagree,Disagree,Rather trust,Rather not trust,Rather trust,Eesti 200,Rather yes,A lot
387,25-34,Basic education,Female,Estonian,Rural,Tartu linn,True,Agree,Agree,Strongly disagree,Disagree,Agree,Don't trust at all,Rather trust,Rather not trust,EKRE,Rather yes,Somewhat
388,55-64,Secondary education,Female,Estonian,Urban,Pärnumaa,True,Disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Trust completely,Don't trust at all,Rather not trust,Parempoolsed,Rather not,A lot
389,75+,Higher education,Male,Estonian,Urban,Harju- ja Raplamaa,True,Agree,Strongly disagree,Agree,Don't know,Agree,Rather trust,Rather trust,Rather trust,Eesti 200,Definitely,A lot
390,65-74,Secondary education,Male,Estonian,Urban,Järva- ja Viljandimaa,True,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Don't trust at all,Don't trust at all,Don't trust at all,Isamaa,Not at all,Somewhat
391,55-64,Secondary education,Female,Other,Rural,Jõgeva- ja Tartumaa,True,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Rather not trust,Don't trust at all,Rather not trust,No party,Not at all,Almost not at all
392,65-74,Higher education,Female,Estonian,Small town,Harju- ja Raplamaa,True,Disagree,Strongly disagree,Disagree,Agree,Disagree,Rather trust,Rather trust,Rather trust,SDE,Rather yes,Somewhat
393,25-34,Higher education,Female,Estonian,Rural,"Hiiu-, Lääne- ja Saaremaa",True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Rather not trust,Don't trust at all,EKRE,Rather not,A lot
394,75+,Higher education,Male,Estonian,Urban,Tartu linn,True,Disagree,Strongly agree,Agree,Disagree,Strongly agree,Rather not trust,Rather trust,Rather trust,Isamaa,Rather yes,A lot
395,75+,Higher education,Female,Estonian,Small town,Harju- ja Raplamaa,True,Strongly agree,Strongly agree,Don't know,Disagree,Strongly agree,Don't trust at all,Rather not trust,Don't trust at all,EKRE,Rather not,Somewhat
396,35-44,Basic education,Male,Other,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Disagree,Disagree,Strongly agree,Strongly agree,Disagree,Don't trust at all,Rather not trust,Rather not trust,Isamaa,Rather not,A lot
397,55-64,Higher education,Female,Estonian,Rural,Harju- ja Raplamaa,True,Disagree,Strongly disagree,Disagree,Strongly agree,Agree,Rather not trust,Rather not trust,Rather not trust,Parempoolsed,Rather yes,A lot
398,75+,Higher education,Male,Estonian,Rural,Jõgeva- ja Tartumaa,True,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Don't trust at all,Rather not trust,Don't trust at all,EKRE,Rather yes,A lot
399,35-44,Basic education,Male,Other,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly agree,Disagree,Disagree,Strongly disagree,Strongly agree,Rather not trust,Rather not trust,Rather trust,Isamaa,Rather not,Almost not at all
400,25-34,Basic education,Male,Estonian,Small town,Harju- ja Raplamaa,True,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Rather not trust,Rather not trust,Rather not trust,EKRE,Rather not,A lot
401,18-24,Secondary education,Male,Estonian,Small town,Harju- ja Raplamaa,True,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Rather not trust,Rather not trust,Trust completely,SDE,Definitely,A little
402,25-34,Secondary education,Female,Estonian,Rural,Pärnumaa,True,Don't know,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Rather trust,Rather not trust,Rather trust,Eesti 200,Rather yes,Almost not at all
403,25-34,Secondary education,Female,Other,Urban,Ida-Virumaa,True,Don't know,Don't know,Don't know,Don't know,Don't know,Don't trust at all,Don't trust at all,Rather not trust,No party,Definitely,Almost not at all
404,55-64,Higher education,Male,Estonian,Small town,Harju- ja Raplamaa,True,Disagree,Strongly disagree,Agree,Disagree,Agree,Rather not trust,Rather not trust,Rather trust,Isamaa,Not at all,Somewhat
405,55-64,Higher education,Male,Estonian,Small town,Harju- ja Raplamaa,True,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Don't trust at all,Rather not trust,Don't trust at all,EKRE,Definitely,A lot
406,65-74,Higher education,Male,Estonian,Urban,Harju- ja Raplamaa,True,Disagree,Disagree,Agree,Don't know,Strongly agree,Rather trust,Rather trust,Rather trust,Isamaa,Rather yes,A little
407,18-24,Secondary education,Female,Other,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly agree,Disagree,Agree,Don't know,Agree,Rather not trust,Rather not trust,Rather trust,No party,Rather not,A little
408,65-74,Higher education,Male,Estonian,Rural,Harju- ja Raplamaa,True,Strongly disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Don't trust at all,Rather trust,Rather trust,Keskerakond,Rather yes,A lot
409,75+,Higher education,Female,Estonian,Urban,Tartu linn,True,Disagree,Disagree,Agree,Strongly agree,Agree,Rather trust,Rather trust,Rather trust,Isamaa,Rather not,A lot
410,55-64,Higher education,Male,Estonian,Urban,Pärnumaa,True,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,EKRE,Definitely,Somewhat
411,35-44,Basic education,Male,Estonian,Tallinn,Mustamäe ja Nõmme,True,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Rather trust,Rather trust,Rather trust,Reformierakond,Rather yes,Somewhat
412,75+,Secondary education,Male,Estonian,Urban,Tartu linn,True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,EKRE,Rather yes,A lot
413,25-34,Higher education,Female,Estonian,Rural,Jõgeva- ja Tartumaa,True,Agree,Strongly disagree,Disagree,Agree,Strongly agree,Rather trust,Rather trust,Rather not trust,Undecided,Rather yes,Somewhat
414,65-74,Higher education,Female,Estonian,Urban,"Hiiu-, Lääne- ja Saaremaa",True,Disagree,Strongly disagree,Strongly disagree,Don't know,Disagree,Rather trust,Rather not trust,Rather trust,Reformierakond,Rather yes,Somewhat
415,65-74,Higher education,Male,Estonian,Rural,Jõgeva- ja Tartumaa,True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Rather not trust,EKRE,Rather yes,A lot
416,45-54,Basic education,Male,Estonian,,Jõgeva- ja Tartumaa,True,Disagree,Strongly disagree,Agree,Strongly agree,Disagree,Rather trust,Neither trust nor distrust,Rather not trust,Eesti 200,Rather yes,A little
417,18-24,Higher education,Female,Estonian,Urban,Tartu linn,True,Don't know,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Rather trust,Rather not trust,Rather trust,Undecided,Rather yes,Somewhat
418,65-74,Higher education,Male,Estonian,Rural,Jõgeva- ja Tartumaa,True,Agree,Strongly agree,Strongly agree,Don't know,Strongly agree,Don't trust at all,Rather not trust,Rather not trust,EKRE,Rather yes,A lot
419,35-44,Secondary education,Male,Estonian,Small town,Pärnumaa,True,Agree,Disagree,Disagree,Disagree,Strongly agree,Don't trust at all,Don't trust at all,Rather not trust,EKRE,Rather not,A little
420,65-74,Higher education,Male,Estonian,Urban,Pärnumaa,True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Rather trust,EKRE,Rather yes,A lot
421,75+,Higher education,Female,Estonian,Urban,Pärnumaa,True,Strongly agree,Disagree,Strongly disagree,Disagree,Disagree,Rather not trust,Rather not trust,Rather trust,Parempoolsed,Not at all,Somewhat
422,35-44,Secondary education,Male,Other,Rural,Ida-Virumaa,True,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Rather not trust,Rather not trust,Rather not trust,Keskerakond,Definitely,Somewhat
423,25-34,Higher education,Female,Estonian,Small town,Pärnumaa,True,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Rather trust,Rather trust,Rather not trust,Isamaa,Rather yes,A little
424,35-44,Secondary education,Male,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Agree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Trust completely,Trust completely,Rather trust,Isamaa,Definitely,Somewhat
425,55-64,Secondary education,Male,Estonian,Small town,Harju- ja Raplamaa,True,Strongly disagree,Strongly disagree,Agree,Don't know,Disagree,Rather trust,Rather not trust,Don't trust at all,Reformierakond,Rather not,Somewhat
426,65-74,Secondary education,Male,Estonian,Rural,Pärnumaa,True,Disagree,Disagree,Disagree,Strongly agree,Disagree,Rather trust,Rather trust,Rather trust,Undecided,Rather yes,Somewhat
427,75+,Secondary education,Female,Estonian,Urban,Tartu linn,True,Disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Rather not trust,Rather not trust,Rather trust,SDE,Rather not,A little
428,65-74,Secondary education,Female,Estonian,Urban,Tartu linn,True,Agree,Strongly disagree,Agree,Strongly agree,Agree,Rather trust,Rather not trust,Rather not trust,Isamaa,Rather yes,Somewhat
429,35-44,Higher education,Female,Estonian,Rural,Harju- ja Raplamaa,True,Agree,Disagree,Disagree,Disagree,Disagree,Rather trust,Rather trust,Rather not trust,SDE,Rather not,A little
430,75+,Higher education,Male,Estonian,Urban,Pärnumaa,True,Agree,Strongly agree,Agree,Agree,Agree,Don't trust at all,Don't trust at all,Rather trust,EKRE,Not at all,A lot
431,35-44,Higher education,Male,Estonian,Rural,Lääne-Virumaa,True,Agree,Strongly agree,Strongly agree,Agree,Agree,Don't trust at all,Rather not trust,Don't trust at all,EKRE,Definitely,A lot
432,35-44,Higher education,Female,Estonian,Rural,Järva- ja Viljandimaa,True,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Rather trust,Rather not trust,Rather not trust,SDE,Rather not,Somewhat
433,18-24,Secondary education,Female,Estonian,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Agree,Disagree,Strongly disagree,Strongly agree,Disagree,Neither trust nor distrust,Rather not trust,Rather not trust,Eesti 200,Rather not,A little
434,55-64,Basic education,Female,Other,Tallinn,Mustamäe ja Nõmme,True,Strongly agree,Don't know,Don't know,Agree,Don't know,Rather not trust,Rather not trust,Don't trust at all,No party,Rather not,Almost not at all
435,45-54,Higher education,Female,Estonian,Urban,Tartu linn,True,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Don't know,Rather trust,Rather trust,Rather trust,Reformierakond,Definitely,A lot
436,45-54,Higher education,Female,Estonian,Urban,Pärnumaa,True,Disagree,Strongly disagree,Disagree,Agree,Agree,Rather not trust,Rather trust,Rather trust,Isamaa,Rather yes,Somewhat
437,45-54,Secondary education,Female,Estonian,Urban,Pärnumaa,True,Disagree,Disagree,Disagree,Strongly agree,Disagree,Rather trust,Rather not trust,Rather not trust,Eesti 200,Definitely,Somewhat
